ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5871,"Biogas Plant at Gujjar Colony, Lahore",Punjab Power Development Company Limited (PPDCL),Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.,Under validation,Pakistan,"39,186",Asia,,2026-01-01,2035-12-31
5860,Ningxia Junfeng Siguquan Coal Mine Well No.2 CMM Heating Project,"Ningxia Junfeng New Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"111,399",Asia,,2024-10-08,2034-10-07
5851,10.2MW Nam Yeim Hydro Power Project,SINGAPORE TREASURE CARBON TECH PTE. LTD.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Lao,"22,841",,,2026-03-01,2036-02-29
5850,NAM KAIO HYDRO POWER PROJECT,SINGAPORE TREASURE CARBON TECH PTE. LTD.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Lao,"24,080",,,,
5822,Mwenga Hydro Power Project,Rift Valley Energy Tanzania Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Tanzania,"10,695",Africa,,2020-01-30,2027-01-29
5785,Scaw Rooftop Solar PV Grouped Project,Scaw South Africa (Pty) Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under development,South Africa,"9,631",Africa,,2025-01-13,2032-01-12
5775,Hedmenn Strauss Solar PV Grouped Project,Hedmenn Strauss (Pty) Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under development,South Africa,"12,078",Africa,,2025-01-09,2032-01-08
5757,Grouped Solar Lamp distribution project in Africa#1,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-III.AR,Under development,Ethiopia,"37,234",Africa,,2024-03-14,2031-03-13
5753,CARBON DISCLOSURE SA SOLAR PV GROUPED PROJECT 2,Carbon Disclosure South Africa (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-III.F.,Under development,South Africa,"9,200",Africa,,2025-01-01,2031-12-31
5737,Beypi Poultry Waste to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under development,Turkey,"26,019",Asia,,2025-10-01,2032-09-30
5686,Shanxi Lvliang Junliu CMM Power Generation Project,"Shanxi Junliu New Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registration and verification approval requested,China,"228,930",Asia,,2024-03-27,2034-03-26
5630,iKapa Solar PV and BESS 240 MWp Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,South Africa,"412,753",Africa,,,
5621,FirstSolar Programme,FirstRand Bank Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration requested,South Africa,137,Africa,,2023-09-09,2030-09-08
5619,Broadreach Yield Solar PV Grouped Project,Broadreach Yield Pty Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration requested,South Africa,"7,666",,,2023-06-13,2030-06-12
5609,Grouped rooftop project by GVG Group of Companies,GVG Paper Mills Pvt Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration requested,India,"3,262",Asia,,2023-09-27,2030-09-26
5606,Abu Minqar Solar PV Projects,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration requested,Egypt,"5,162",Africa,,2023-10-01,2030-09-30
5596,Decentral Energy Group Project,Fuel Switch SA (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"28,500",Africa,,2024-01-01,2030-12-31
5597,Fuel Switch Open Call: Accelerating Access to Clean Energy,Fuel Switch SA (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"50,000",Africa,,2023-09-01,2030-08-31
5577,Bundled Rooftop Solar Power Project by SJLT group,SJLT Textiles Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"13,688",Asia,2026-03-23,2023-09-25,2030-09-24
5551,HeShan MSW Incineration and Power Generation,"Public Energy Technology (Heshan) Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,"60,416",Asia,,2024-05-28,2031-05-27
5542,MALAYSIA GROUPED BIOMASS WASTE RECOVERY AND UTILIZATION PROJECT,Climate Quest Sdn  Bhd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0006; AMS-III.E.,Registration and verification approval requested,Malaysia,"76,340",Asia,,2023-11-01,2033-10-31
5539,Waste 2 Energy,M/S WASTE RESOURCE MANAGEMENT PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,ACM0017,Under validation,India,"65,194",Asia,,2025-04-01,2032-03-31
5536,Decarb.earth RSA Solar,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"50,000",Africa,,2023-07-01,2030-06-30
5530,TAISHAN MSW INCINERATION AND POWER GENERATION,"Public Energy Investment(Taishan) Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,"178,378",Asia,,2024-04-17,2031-04-16
5488,Scatec RMI Hybrid Cluster,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,South Africa,"900,000",Africa,2025-12-23,2023-11-19,2033-11-18
5470,Guizhou Jinsha Changxing CMM Power Generation Project,"Jinsha Yonder Southwest New Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,"161,826",Asia,2026-03-20,2023-12-05,2033-12-04
5467,Shanxi Xiangning Detong CMM Power Generation Project,"Xiangning County Jiayuan CBM utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"162,770",Asia,,2024-08-10,2034-08-09
5468,Shanxi Yangcheng Huanglian CMM Power Generation Project,"Yangcheng County Jingde CBM power generation Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registration and verification approval requested,China,"143,835",Asia,,2023-11-14,2033-11-13
5452,600 MW Monsoon Wind Power Project,Monsoon Wind Power Company Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Lao,"1,347,847",Asia,,2025-03-31,2032-03-30
