ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
4863,"Green Hydrogen Project: Sindh, Pakistan",N/A,Energy industries (renewable/non-renewable sources),,Methodology Under Development,Inactive,Pakistan,"500,000",Asia,,,
4482,Lushan MSW Incineration Project,"Lushan Capital Environment Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Rejected by Administrator,China,"60,883",,,2021-10-07,2031-10-06
4447,Aslan Biogas Plant,Aslan Biyokütle Enerji Üretim ve Ticaret A.Ş.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0010,Withdrawn,Turkey,"65,339",Europe,,2022-06-24,2029-06-23
4420,Kayseri Biogas Plant,MİR Global Enerji A.Ş.,Energy industries (renewable/non-renewable sources),,ACM0010,Rejected by Administrator,Turkey,"102,204",Europe,,2021-06-30,2028-06-29
4421,Eskişehir Landfill Biogas Plant,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0010,Rejected by Administrator,Turkey,"64,670",Europe,,2021-07-01,2028-06-30
4294,Yongji MSW Incineration Project,"Yongji Huaxinda Clean Energy Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Withdrawn,China,"63,176",Asia,,2021-06-30,2031-06-29
4232,Salima 60MW Solar PV Project,Salima JCM Solar Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Malawi,"12,352",Africa,,2021-10-28,2031-10-27
4233,Golomoti 20MW Solar PV Project,Golomoti JCM Solar Corporation Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Malawi,"4,642",Africa,,2022-03-14,2032-03-13
3986,15 MW Nam The Hydropower Project,Kosher Climate India Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,Lao,"40,111",Asia,,2021-01-01,2027-12-31
3914,Guizhou Feitian 21 & Miluo & Mayixi CMM Power Generation Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Withdrawn,China,"511,185",Asia,,2021-12-30,2031-12-29
3899,Barutçuoğlu Landfill Gas to Electricity Power Plant,Barutçuoğlu İnşaat Sanayi ve Ticaret Limited Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Rejected by Administrator,Turkey,"16,126",Europe,,2021-06-03,2028-06-02
3557,Bundled Solar Power Project by Sun Source Energy Private Limited 01,Sun Source Energy Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Rejected by Administrator,India,"19,763",Asia,,2021-01-04,2028-01-03
3559,Bundled Solar Power Project by Sun Source Energy Private Limited 02,Sun Source Energy Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Rejected by Administrator,India,"13,923",Asia,,2021-10-19,2028-10-18
3573,"Rooftop Solar Project by Earth Carbon Foundation in Gujarat, India",Earth Carbon Foundation.,Energy industries (renewable/non-renewable sources),,ACM0002,Inactive,India,"45,770",Asia,,2020-09-01,2027-08-31
3245,DISTRIBUTION OF HOUSEHOLD BIOGAS IN RURAL AREAS OF INDIA-2,Greneity Infocom Service Pvt Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Withdrawn,India,"35,347",Asia,2023-06-05,2021-02-01,2031-01-31
3008,Grouped Captive Solar Power project by Enking International,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Rejected by Administrator,India,"1,630",Asia,,2020-12-17,2027-12-16
2875,30 kW Grid-connected PV park Slaveikovo,Betia Trust,Energy industries (renewable/non-renewable sources),,VM0025,Inactive,Bulgaria,8,Europe,,2022-02-01,2032-01-31
2681,Jiaozuo Zhouliu MSW Landfill site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Rejected by Administrator,China,"31,755",Asia,,,
2682,Luoyang Landfill Site LFG Recovery to Electricity Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Rejected by Administrator,China,"114,743",Asia,,,
2683,Luohe MSW Landfill Site LFG Recovery to Power Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Rejected by Administrator,China,"44,223",Asia,,,
2585,Solid Waste to Bio CNG Production Facility in India,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.AO.; ACM0022,Rejected by Administrator,India,"56,700",Asia,,2019-10-15,2026-10-14
2467,Bayburt Landfill Gas to Energy Project,BK Alternatif Enerji Anonim Sirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.G.,Inactive,Turkey,"15,153",Europe,,2020-01-10,2027-01-09
2466,"BUNDLED WIND POWER PROJECT IN TAMILNADU, INDIA CO-ORDINATED BY THE TAMILNADU SPINNING MILLS ASSOCIATION (TASMA.)",TAMILNADU SPINNING MILLS ASSOCIATION (TASMA),Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,India,"801,520",Asia,,,
2380,Installation of high efficiency wood burning cookstoves in Rwanda,C-Quest Capital Stoves Asia Limited,Energy industries (renewable/non-renewable sources),,VMR0006,Withdrawn,Rwanda,"3,149,415",Africa,2023-05-11,2021-10-09,2031-10-08
2323,7 MW Bundled Hydro power project at Himachal Pradesh of Raajratna Energy Holdings Pvt. Ltd,M/s Raajratna Energy Holdings Pvt Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,India,"19,693",Asia,2021-05-21,,
284,"Wengyuan 20MW Hydro Power Project in Guizhou Province, China",Zhenning Yuefeng Hydro Power  Development Co. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"43,650",,,,
